0	50301	50317	50312
1	85	102	110
2	114	92	79
3	65	69	74
4	95	99	82
5	80	70	69
6	78	55	63
7	68	61	61
8	70	71	57
9	60	64	65
10	59	62	61
11	61	75	67
12	68	77	55
13	53	63	54
14	53	51	66
15	44	68	57
16	63	70	87
17	57	55	64
18	67	86	76
19	60	54	59
20	51	70	61
21	57	72	55
22	65	66	44
23	54	65	61
24	68	67	63
25	63	52	55
26	57	56	40
27	49	58	58
28	57	56	64
29	57	50	52
30	64	64	65
31	82	64	67
32	83	86	82
33	65	55	60
34	57	55	63
35	60	54	54
36	69	66	67
37	65	61	73
38	55	61	43
39	63	50	62
40	69	70	59
41	72	47	51
42	57	56	51
43	63	63	68
44	53	41	63
45	49	39	51
46	53	73	61
47	66	67	58
48	48	63	73
49	59	58	54
50	58	68	47
51	52	56	53
52	59	62	51
53	62	61	43
54	53	57	44
55	60	56	60
56	62	57	46
57	59	65	60
58	60	63	64
59	58	47	49
60	57	61	57
61	63	40	50
62	51	65	61
63	83	69	66
64	81	79	101
65	61	58	68
66	59	62	68
67	67	70	45
68	64	59	58
69	64	50	49
70	56	55	55
71	51	71	53
72	66	67	59
73	68	66	65
74	57	64	55
75	57	40	61
76	72	65	56
77	41	46	50
78	59	72	65
79	56	52	57
80	69	67	71
81	59	52	54
82	59	61	66
83	55	45	46
84	71	59	70
85	43	57	48
86	58	57	62
87	69	53	50
88	68	56	63
89	50	47	63
90	56	60	71
91	48	53	51
92	59	55	57
93	35	46	58
94	60	54	61
95	78	69	78
96	74	54	71
97	59	43	63
98	67	65	50
99	63	62	68
100	58	49	60
101	50	28	60
102	64	75	71
103	45	48	60
104	69	55	60
105	51	43	49
106	64	46	62
107	51	51	55
108	55	46	57
109	39	63	53
110	67	55	55
111	71	62	63
112	55	43	67
113	50	58	43
114	81	65	58
115	43	51	62
116	62	47	70
117	48	48	60
118	39	76	57
119	62	56	60
120	56	50	63
121	59	54	56
122	69	56	55
123	41	59	68
124	61	54	48
125	54	59	56
126	71	78	68
127	69	89	88
128	97	103	104
129	47	54	45
130	53	53	54
131	66	70	53
132	57	53	62
133	47	56	48
134	49	48	39
135	48	56	50
136	50	56	67
137	57	49	58
138	44	54	55
139	60	60	68
140	65	56	50
141	63	39	42
142	39	60	54
143	57	69	62
144	61	70	52
145	50	60	60
146	64	55	51
147	56	61	61
148	51	50	67
149	40	51	52
150	56	52	51
151	65	63	59
152	53	64	54
153	53	59	63
154	61	52	56
155	64	55	62
156	58	56	52
157	67	48	58
158	56	52	51
159	75	58	54
160	67	63	61
161	56	66	60
162	58	47	62
163	60	47	53
164	58	58	63
165	47	47	41
166	43	54	59
167	55	59	55
168	58	70	50
169	49	50	49
170	59	51	49
171	64	62	65
172	57	63	58
173	60	68	54
174	60	60	40
175	58	47	72
176	46	51	63
177	56	63	52
178	47	54	41
179	82	57	65
180	63	56	55
181	68	51	47
182	58	66	54
183	59	55	65
184	47	53	53
185	73	52	58
186	45	53	43
187	72	68	56
188	47	62	47
189	56	57	74
190	71	56	64
191	62	76	76
192	71	55	72
193	54	53	59
194	50	65	69
195	57	68	54
196	80	52	37
197	61	66	79
198	71	48	60
199	59	62	57
200	69	61	57
201	71	74	84
202	51	60	70
203	54	69	51
204	53	69	67
205	54	59	69
206	59	60	57
207	68	53	63
208	50	58	57
209	55	51	53
210	42	59	53
211	79	60	60
212	41	53	40
213	61	71	57
214	57	69	54
215	47	58	66
216	54	55	44
217	50	58	50
218	49	52	55
219	51	55	68
220	55	72	54
221	60	57	72
222	67	58	50
223	69	76	61
224	54	65	68
225	54	49	64
226	64	61	47
227	61	62	63
228	61	47	66
229	53	60	69
230	64	54	54
231	63	65	61
232	48	51	61
233	57	59	66
234	55	46	54
235	58	54	56
236	53	54	56
237	62	60	70
238	68	57	64
239	60	51	50
240	54	56	62
241	74	56	79
242	66	71	75
243	63	59	61
244	47	59	59
245	67	63	59
246	71	52	60
247	53	58	62
248	62	79	59
249	59	90	60
250	55	61	58
251	52	74	63
252	62	82	77
253	71	66	75
254	66	77	67
255	69	70	57
